"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,20657,21288,21982,27962,28421,28657,31122,31305,31538
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,340748,347463,354045,401506,406634,411702,445373,449002,452524
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8009142,7837161,7775327,7348328,7305888,7265115,6877743,6465097,6430370
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,12249764,12632269,13030591,16602651,17113732,17636408,22100683,22673762,23251485
"Population, total",SP.POP.TOTL,Burundi,BDI,6465729,6648938,6860846,9455733,9795479,10149577,12551213,12889576,13238559
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,465958,473231,480089,527521,533864,539940,587925,593149,598682
"Population, total",SP.POP.TOTL,Cambodia,KHM,12338192,12561779,12787710,14573885,14786640,14999683,16589023,16767842,16944826
"Population, total",SP.POP.TOTL,Cameroon,CMR,15493253,15914033,16354326,20448873,21032684,21632850,27198628,27914536,28647293
"Population, total",SP.POP.TOTL,Canada,CAN,31020855,31359199,31642461,34339221,34713395,35080992,38239864,38939056,40097761
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,41054,42456,43862,55492,56860,58212,68136,68706,69310
"Population, total",SP.POP.TOTL,Central African Republic,CAF,3844773,3930648,4026841,4732022,4773306,4802428,5457154,5579144,5742315
"Population, total",SP.POP.TOTL,Chad,TCD,8538804,8838369,9196366,12317730,12754906,13216766,17179740,17723315,18278568
"Population, total",SP.POP.TOTL,Channel Islands,CHI,146044,147167,148341,157819,158621,159794,172683,174079,175346
"Population, total",SP.POP.TOTL,Chile,CHL,15523978,15693790,15859112,17173573,17341771,17509925,19493184,19603733,19629590
"Population, total",SP.POP.TOTL,China,CHN,1271850000,1280400000,1288400000,1345035000,1354190000,1363240000,1412360000,1412175000,1410710000
"Population, total",SP.POP.TOTL,Colombia,COL,39837875,40454050,41057687,45308899,45782417,46237930,51516562,51874024,52085168
"Population, total",SP.POP.TOTL,Comoros,COM,547741,559047,570130,670071,684553,699393,821625,836774,852075
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,50106657,51662071,53205639,68654269,70997870,73460021,95894118,99010212,102262808
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,3254101,3331158,3424653,4584216,4713257,4828066,5835806,5970424,6106869
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4053222,4122623,4188610,4679926,4736593,4791535,5153957,5180829,5212173
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,17245468,17683897,18116451,21562914,22010712,22469268,27478249,28160542,28873034
"Population, total",SP.POP.TOTL,Croatia,HRV,4299642,4302174,4303399,4280622,4267558,4255689,3878981,3855641,3853200
"Population, total",SP.POP.TOTL,Cuba,CUB,11139127,11170051,11199217,11298710,11309290,11321579,11256372,11212191,11194449
